Date,ARM,CHAT,MSFT,NVDA
2023-09-28,55.4900016784668,26.799999237060547,312.4269714355469,430.8319396972656
2023-09-29,53.52000045776367,26.959999084472656,314.52880859375,434.93133544921875
2023-10-02,52.2599983215332,27.209999084472656,320.5553894042969,447.7596435546875
2023-10-03,51.56999969482422,26.490999221801758,312.17791748046875,435.111328125
2023-10-04,53.459999084472656,26.854999542236328,317.72637939453125,440.3506164550781
2023-10-05,52.5099983215332,26.93000030517578,318.12481689453125,446.81976318359375
2023-10-06,54.08000183105469,27.6299991607666,325.9942932128906,457.5583190917969
2023-10-09,54.25,27.6200008392334,328.54437255859375,452.6689758300781
2023-10-10,55.709999084472656,27.95400047302246,327.11993408203125,457.91827392578125
2023-10-11,54.68000030517578,28.211999893188477,331.13433837890625,467.9969177246094
2023-10-12,51.849998474121094,27.959999084472656,329.87921142578125,469.38671875
2023-10-13,50.779998779296875,27.297000885009766,326.4624938964844,454.5486755371094
2023-10-16,52.09000015258789,27.65999984741211,331.3534851074219,460.8878479003906
2023-10-17,52.290000915527344,27.600000381469727,330.77569580078125,439.3207702636719
2023-10-18,51.900001525878906,26.989999771118164,328.833251953125,421.903076171875
2023-10-19,49.7400016784668,26.770000457763672,330.03857421875,420.9532470703125
2023-10-20,47.869998931884766,26.1299991607666,325.4065856933594,413.814208984375
2023-10-23,50.209999084472656,26.25,328.04632568359375,429.6920471191406
2023-10-24,52.369998931884766,26.68000030517578,329.25164794921875,436.5711364746094
2023-10-25,49.439998626708984,25.770000457763672,339.3524475097656,417.7336730957031
2023-10-26,50.16999816894531,25.280000686645508,326.6218566894531,403.20562744140625
2023-10-27,49.09000015258789,25.3799991607666,328.534423828125,404.94537353515625
2023-10-30,47.900001525878906,25.670000076293945,336.0054016113281,411.5544738769531
2023-10-31,49.290000915527344,25.84000015258789,336.80230712890625,407.7449951171875
2023-11-01,50.52000045776367,26.350000381469727,344.7315368652344,423.19293212890625
2023-11-02,52.81999969482422,26.959999084472656,346.97283935546875,435.0013427734375
2023-11-03,53.4900016784668,27.649999618530273,351.43548583984375,449.98931884765625
2023-11-06,53.099998474121094,27.829999923706055,355.15106201171875,457.4483337402344
2023-11-07,55.27000045776367,28.149999618530273,359.1356201171875,459.488037109375
2023-11-08,54.400001525878906,28.139999389648438,361.7952880859375,465.67718505859375
2023-11-09,51.58000183105469,28.010000228881836,359.29498291015625,469.4366760253906
2023-11-10,52.27000045776367,28.540000915527344,368.2402648925781,483.28485107421875
2023-11-13,51.689998626708984,28.65999984741211,365.2618103027344,486.13446044921875
2023-11-14,53.43000030517578,29.440000534057617,368.8379211425781,496.4930725097656
2023-11-15,55.43000030517578,29.510000228881836,368.9876708984375,488.8141174316406
2023-11-16,54.22999954223633,29.350000381469727,375.4756774902344,494.7332763671875
2023-11-17,54.9900016784668,29.299999237060547,369.1673278808594,492.9135437011719
2023-11-20,58.68000030517578,29.899999618530273,376.7433166503906,504.02203369140625
2023-11-21,58.65999984741211,29.565000534057617,372.3813781738281,499.3726501464844
2023-11-22,61.7599983215332,29.790000915527344,377.1525573730469,487.0943298339844
2023-11-24,63.880001068115234,29.65999984741211,376.7333068847656,477.69561767578125
2023-11-27,61.0,29.729999542236328,377.9111328125,482.3549499511719
2023-11-28,61.91999816894531,29.709999084472656,381.9936218261719,478.1455078125
2023-11-29,62.209999084472656,29.649999618530273,378.15069580078125,481.3350830078125
2023-11-30,61.5,29.52899932861328,378.2106018066406,467.636962890625
2023-12-01,63.900001525878906,29.690000534057617,373.8187255859375,467.5869445800781
2023-12-04,61.93000030517578,29.34000015258789,368.4586486816406,455.03863525390625
2023-12-05,63.59000015258789,29.200000762939453,371.8323669433594,465.6381530761719
2023-12-06,61.060001373291016,28.899999618530273,368.1192321777344,455.0086669921875
2023-12-07,62.439998626708984,29.360000610351562,370.2652893066406,465.9381408691406
2023-12-08,67.2300033569336,29.726999282836914,373.53924560546875,475.0377197265625
2023-12-11,64.88999938964844,29.850000381469727,370.6146240234375,466.24810791015625
2023-12-12,64.70999908447266,29.8799991607666,373.68896484375,476.5476379394531
2023-12-13,65.61000061035156,30.1200008392334,373.678955078125,480.8574523925781
2023-12-14,70.73500061035156,30.450000762939453,365.2545471191406,483.4773254394531
2023-12-15,71.02999877929688,30.56999969482422,370.04571533203125,488.8770751953125
2023-12-18,68.87000274658203,30.709999084472656,371.9621276855469,500.7464904785156
2023-12-19,69.43000030517578,30.940000534057617,372.571044921875,496.0167541503906
2023-12-20,68.4000015258789,30.260000228881836,369.9358825683594,481.08740234375
2023-12-21,71.19999694824219,30.829999923706055,372.85052490234375,489.87701416015625
2023-12-22,72.29000091552734,30.579999923706055,373.8885803222656,488.2770690917969
2023-12-26,73.41000366210938,30.799999237060547,373.96844482421875,492.76690673828125
2023-12-27,74.25,30.790000915527344,373.3795471191406,494.1468200683594
2023-12-28,77.47000122070312,31.09000015258789,374.5872802734375,495.19677734375
2023-12-29,75.1449966430664,30.889999389648438,375.34588623046875,495.19677734375
2024-01-02,68.91999816894531,30.190000534057617,370.1854248046875,481.65740966796875
2024-01-03,67.91000366210938,29.809999465942383,369.9159240722656,475.6676940917969
2024-01-04,68.38999938964844,29.809999465942383,367.2608337402344,479.9574890136719
2024-01-05,67.05000305175781,29.829999923706055,367.0711975097656,490.94696044921875
2024-01-08,72.83999633789062,30.709999084472656,373.9983825683594,522.5054931640625
2024-01-09,71.87999725341797,30.799999237060547,375.09637451171875,531.3751220703125
2024-01-10,70.7699966430664,31.079999923706055,382.0634460449219,543.4744873046875
