Date,ARM,CHAT,MSFT,NVDA
2023-12-28,0.0,0.0,0.0,0.0
2023-12-29,0.0,0.0,100.0,0.0
2024-01-02,0.0,0.0,12.816308853554403,0.0
2024-01-03,0.0,0.0,12.25818223061637,0.0
2024-01-04,4.780837136634645,0.0,8.577965347200887,18.010062818947418
2024-01-05,4.2178924884586735,1.5384953966914878,8.397887859244662,43.895405926705244
2024-01-08,36.517153490951365,41.28438039175885,48.155137831672704,70.57405355196785
2024-01-09,34.58353690328755,43.612315924089216,51.492203545079185,74.04307704788367
2024-01-10,32.58832995019873,49.80391716874792,65.55878613282118,77.63910543702579
2024-01-11,30.978233213150162,53.11355285763292,68.0293501048218,78.78557126186814
2024-01-12,31.753770533595812,50.69928274417877,72.15321304340235,77.83859964928347
2024-01-16,29.558879092215832,47.69737915318765,73.74091592289575,81.21020240297648
2024-01-17,33.71842710934821,43.15475227476699,71.91846549962125,78.84972535857611
2024-01-18,44.16005786682105,48.65590998142388,75.27877903471901,80.65141924634095
2024-01-19,51.7295127217673,59.18803262052354,78.13330175662595,83.77718988465355
2024-01-22,53.145518438917534,60.879106506650764,73.8189311128235,83.95442521573995
2024-01-23,64.41599858839815,74.88368523843805,84.8718463677886,92.45557086610687
2024-01-24,65.43160832347205,83.8709280469084,86.6681773600843,96.9948904819551
2024-01-25,60.32935473905001,84.37495875576302,92.7133761024989,96.95883141676575
2024-01-26,57.32573938938788,80.0,91.13229399406873,92.65802237218466
2024-01-29,50.18680770540218,77.45803148907598,90.89419101354592,91.62729664017007
2024-01-30,50.18680770540218,72.51732030404798,88.2641007130608,91.2132416299801
2024-01-31,49.79407238936046,57.777781202870194,65.79228601962498,80.60557031400887
2024-02-01,51.60051162187913,60.92728007282797,68.69021196497746,82.16892980745715
2024-02-02,52.11148577898089,68.38710570558838,70.7459319242046,86.29391438267378
2024-02-05,59.8035033368831,70.81967182359345,63.1228667339364,87.48409031963529
2024-02-06,56.68380937500102,75.37943543108503,63.819847763130824,83.70445600773812
2024-02-07,56.04347560716712,74.87092566822045,66.24272256081204,84.41408350598238
2024-02-08,81.79362356816608,70.68272415578686,63.45412490362374,79.94102175187507
2024-02-09,84.3987002200236,75.08963348458823,69.49397693115543,82.36425138086739
2024-02-12,91.08395847668662,73.06202367038009,62.67038644210993,82.26859734717647
2024-02-13,68.9448473683227,62.15216489708794,52.69188322163575,80.23142771346183
2024-02-14,71.62752308355549,66.72106612567987,53.7625556865772,81.7834059706311
2024-02-15,74.82723106941471,70.49182121936592,52.302042953597834,79.09808832510541
2024-02-16,71.39878168914363,59.75795416705381,46.49923289660074,77.29426327471401
2024-02-20,68.43352205563528,58.08822498189421,46.40508807198303,65.57224962922265
2024-02-21,69.46824576751665,63.40289494607528,54.459738345686624,63.40472559716816
2024-02-22,70.66030765936668,68.8141196555866,56.82869082531792,74.43369485789009
2024-02-23,71.53814571513885,61.737816224564796,49.893819911713024,71.90777714599282
2024-02-26,73.47885268153047,62.48131139015887,52.4340322563392,68.77645167297987
2024-02-27,69.89649078185205,62.255651346875425,52.530682070074526,70.7304590484568
2024-02-28,67.40341817285297,56.68603587369355,43.9241246004708,65.47843934092717
2024-02-29,60.158646675437744,59.17808419612563,50.28493318675632,68.62537319022547
2024-03-01,59.936790090569296,59.99998975919778,45.46253965065304,69.43678025978352
2024-03-04,44.66614299036397,60.789471834980176,50.50304215245604,72.4389356105005
2024-03-05,59.06809785230825,60.471195038895935,46.80802798492401,73.4147874824501
2024-03-06,57.137086577678616,58.57338712631408,41.269468649614346,74.25466942887624
2024-03-07,55.065717173054395,60.779218720352496,52.774211924563176,80.102462718464
2024-03-08,52.09893041583064,59.99998043745758,52.30179352509797,69.45551382515771
2024-03-11,53.40551060493363,60.46513691021264,51.82679950450061,72.10121012828424
2024-03-12,54.12225193499026,67.1480102973904,61.39130360940493,79.7431986452619
2024-03-13,51.93667364392186,56.56565878974401,53.57810686021677,69.8922218164335
2024-03-14,48.203509982714074,54.52015184514129,63.048053126899994,63.54037800034105
2024-03-15,33.24037182828873,48.496734568298315,57.04538410878239,63.0388718551235
2024-03-18,42.100194689235174,50.688364454078,57.70434849096683,64.44488175743442
2024-03-19,41.24976018611286,52.529179221524586,60.10928813974892,67.42638998651199
2024-03-20,40.75767289150345,51.84212177413486,58.83249011934924,66.96049793177885
2024-03-21,42.60421746947891,47.639499734499324,60.215047963247656,64.72557704697405
2024-03-22,46.2275211747,46.64723729194332,60.17071688424393,64.60739167580448
2024-03-25,54.12610799167627,51.36438199144357,66.41753488448195,64.58682870204368
2024-03-26,42.32273144942748,45.40818875222443,65.72346762046345,56.291343174805746
2024-03-27,36.70797778220795,38.46153846153846,61.09804868262378,45.83319052480295
2024-03-28,45.61073623338339,48.221250322460904,64.15702465946237,56.57954974620255
